"","ObjExam","Online","ACTMath","ACTMajor","ACT","Gender","International","F17","S18","S19","Fa19","FR","SO","JR"
"1",86.75,1,31,31.5,30,0,0,1,0,0,0,0,0,1
"2",91.57,1,35.6,31.5,33.2,0,0,1,0,0,0,0,1,0
"3",86.75,1,35.6,33.5,33.9,0,1,1,0,0,0,0,0,0
"4",96.39,0,36,33.5,35,0,0,1,0,0,0,0,1,0
"6",78.31,0,35,31.5,30,0,1,1,0,0,0,1,0,0
"7",67.47,1,33,30.5,33,1,0,1,0,0,0,0,0,1
"10",74.7,1,33,28.5,31,1,0,1,0,0,0,0,0,0
"11",96.39,1,35.6,33,34.7,0,1,1,0,0,0,0,0,0
"14",75.9,0,26.4,31,26,1,1,1,0,0,0,1,0,0
"15",96.39,1,35.5,26,32.6,1,1,1,0,0,0,0,1,0
"16",87.95,1,35.6,31,33.9,1,1,1,0,0,0,0,0,0
"17",77.11,1,35.1,27.5,31.1,1,1,1,0,0,0,0,0,1
"18",53.01,1,24,25.5,23,1,0,1,0,0,0,0,0,0
"20",90.36,1,35,33.5,32,0,0,1,0,0,0,0,0,1
"21",92.77,0,35,26,30,0,1,1,0,0,0,0,1,0
"22",86.75,1,35.6,27.5,32,1,1,1,0,0,0,0,0,1
"23",72.29,1,24,30.5,28,0,0,1,0,0,0,0,0,1
"24",98.8,0,35.2,31.5,33.5,1,1,1,0,0,0,1,0,0
"25",62.65,0,31,26,34,1,0,1,0,0,0,0,1,0
"26",96.39,0,33,31.5,28,1,1,1,0,0,0,1,0,0
"27",96.39,0,36,34.5,36,0,0,1,0,0,0,0,1,0
"28",95.18,0,35,31.5,29,0,1,1,0,0,0,1,0,0
"29",93.98,1,35.6,30.5,32.9,1,1,1,0,0,0,0,1,0
"30",87.95,0,35.6,33.5,35.3,1,0,1,0,0,0,1,0,0
"31",67.47,0,28,31.5,28,0,0,1,0,0,0,1,0,0
"32",83.13,0,26,25.5,23,1,0,1,0,0,0,0,0,0
"35",87.95,1,34.7,26,33,0,1,1,0,0,0,0,1,0
"36",85.54,0,33,31.5,33,0,0,1,0,0,0,1,0,0
"37",96.39,0,35,33.5,35,1,0,1,0,0,0,0,0,1
"38",83.13,1,34.3,27.5,30,0,1,1,0,0,0,0,1,0
"40",87.95,0,33,33.5,34,1,0,1,0,0,0,0,1,0
"41",87.95,0,36,31.5,30,0,0,1,0,0,0,0,1,0
"42",86.75,1,28,29.5,29,1,0,1,0,0,0,0,1,0
"44",98.8,0,35,33.5,33,0,0,1,0,0,0,1,0,0
"45",73.49,0,24,28.5,25,1,0,1,0,0,0,0,1,0
"47",90.36,1,35.1,33.5,35.7,0,0,1,0,0,0,0,0,1
"48",97.59,0,35,31.5,35,1,0,1,0,0,0,0,1,0
"49",80.72,0,33.3,27,30.7,0,1,1,0,0,0,1,0,0
"50",43.37,0,28,26,26,0,0,1,0,0,0,0,1,0
"51",89.16,1,33,27.5,25,1,0,1,0,0,0,0,1,0
"52",91.57,1,31,34.5,30,0,0,1,0,0,0,0,0,1
"53",92.77,0,35.6,31.5,33.8,0,1,1,0,0,0,0,1,0
"55",98.8,0,33.9,31.5,32.1,0,1,1,0,0,0,1,0,0
"56",95.18,1,35.6,26,34,1,1,1,0,0,0,0,1,0
"57",92.77,0,35,31,27,0,1,1,0,0,0,0,0,0
"58",90.36,1,35.6,31,30.6,1,1,1,0,0,0,0,0,1
"59",92.77,0,35.6,31.5,32.4,0,1,1,0,0,0,0,0,1
"60",89.16,0,35,31,35,0,0,1,0,0,0,0,1,0
"61",79,1,25,30.5,28,0,0,1,0,0,0,0,0,1
"62",86.75,1,30.1,31.5,28.2,1,1,1,0,0,0,0,0,1
"64",90.36,1,34,31.5,31,0,0,1,0,0,0,0,0,1
"65",86.75,0,35.6,26,33.8,1,1,1,0,0,0,0,1,0
"66",93.98,1,34,31,31,1,1,1,0,0,0,0,0,1
"67",96.39,1,35,33.5,34,1,0,1,0,0,0,0,0,1
"68",97.59,1,35.1,31.5,34,0,1,1,0,0,0,0,0,1
"69",83.13,0,34,31.5,29,1,0,1,0,0,0,1,0,0
"70",92.77,0,35.1,31,33.3,0,0,1,0,0,0,0,0,1
"71",85.54,1,35.1,30.5,33.4,0,1,1,0,0,0,0,1,0
"72",96.39,0,35.6,32.5,34.5,0,1,1,0,0,0,0,0,1
"73",92.77,1,34.7,34.5,32.7,0,0,1,0,0,0,0,0,1
"74",75.9,0,34,31.5,32,1,1,1,0,0,0,1,0,0
"75",96.39,1,35.6,33,33.9,0,1,1,0,0,0,0,0,1
"77",96.39,1,30.6,26,30.3,1,1,1,0,0,0,0,1,0
"78",78.31,1,27,31,25,0,0,1,0,0,0,0,1,0
"79",95.18,1,35.6,31.5,32.1,0,1,1,0,0,0,1,0,0
"80",89.16,1,32,33.5,31,0,0,1,0,0,0,0,0,0
"81",91.57,1,35,28.5,30,1,1,1,0,0,0,0,1,0
"82",93.98,1,35.6,32,33.8,1,0,1,0,0,0,0,0,1
"84",86.75,0,24,26,26,1,0,1,0,0,0,0,1,0
"85",97.59,0,35,29.5,32,0,0,1,0,0,0,0,1,0
"86",72.29,1,34.3,31.5,30.7,1,1,1,0,0,0,0,0,1
"88",86.75,1,34.7,28,32.6,1,1,1,0,0,0,0,1,0
"89",83.13,1,31.7,26,31.9,0,1,1,0,0,0,0,1,0
"91",93.98,1,36,31,32,1,0,1,0,0,0,0,0,0
"93",96.39,1,35,33.5,35,0,0,1,0,0,0,0,1,0
"95",98.8,1,33,33.5,34,1,0,1,0,0,0,0,0,0
"96",84.34,0,35.6,31.5,32.8,0,1,1,0,0,0,0,1,0
"97",91.57,0,28,32.5,27,0,0,1,0,0,0,0,0,0
"101",96.39,0,36,33.5,35,0,1,1,0,0,0,0,1,0
"102",92.77,0,31,31,29,1,0,1,0,0,0,0,1,0
"104",86.75,0,33.3,26,31.8,0,0,1,0,0,0,0,1,0
"105",96.39,1,35,29.5,34,0,0,1,0,0,0,0,0,0
"106",87.95,0,31,28,30,1,0,1,0,0,0,1,0,0
"107",95.18,1,34,33.5,34,1,0,1,0,0,0,0,0,0
"108",79.52,0,28,28,26,1,0,1,0,0,0,0,0,1
"109",95.18,0,35,33.5,33,0,0,1,0,0,0,0,1,0
"110",87.95,0,35.1,28.5,33.4,1,1,1,0,0,0,0,1,0
"111",91.57,1,36,33.5,31,0,0,1,0,0,0,0,0,0
"112",91.57,0,35.2,34,32.4,1,1,1,0,0,0,1,0,0
"113",87.95,0,34,30.5,28,0,0,1,0,0,0,0,0,0
"114",100,1,34.7,31.5,34.6,1,1,1,0,0,0,0,0,1
"116",95.18,1,35.6,32,31.2,0,1,1,0,0,0,0,0,1
"118",83.13,1,30,29,28,1,0,1,0,0,0,0,0,0
"121",96.39,0,34.7,26,33.8,1,1,1,0,0,0,0,1,0
"122",92.77,1,35.2,31.5,30.3,1,1,1,0,0,0,0,1,0
"123",84.34,0,30,31,27,0,0,1,0,0,0,1,0,0
"124",83.13,1,35.6,31,33.9,1,1,1,0,0,0,0,1,0
"125",75.9,0,36,33.5,33,0,0,1,0,0,0,1,0,0
"126",78.31,0,34,34.5,34,0,0,1,0,0,0,0,0,1
"127",95.18,0,35.6,31.5,31.9,0,1,1,0,0,0,0,0,1
"128",79.52,0,32,26,30,1,0,1,0,0,0,1,0,0
"131",83.13,1,35,31.5,30,0,1,1,0,0,0,0,1,0
"133",89.16,1,28,31,24,0,0,1,0,0,0,0,0,1
"134",81.93,1,32,26,25,1,1,1,0,0,0,0,1,0
"138",89.16,1,32,28,21,1,0,1,0,0,0,0,0,1
"139",97.59,1,35.6,31.5,33.7,1,1,1,0,0,0,0,0,1
"140",74.7,1,34.7,29.5,31.6,0,1,1,0,0,0,0,0,1
"141",83.13,1,27,26,25,0,0,1,0,0,0,0,0,1
"142",71.08,1,29,24.5,25,1,0,1,0,0,0,0,1,0
"143",75.9,0,36,31.5,32,0,0,1,0,0,0,1,0,0
"144",83.13,0,34.4,31.5,32.1,1,1,1,0,0,0,1,0,0
"145",79.52,1,34,30,34,0,0,1,0,0,0,0,0,0
"147",91.57,1,32,26,31,0,0,1,0,0,0,0,1,0
"148",93.98,1,35,31.5,31,1,1,1,0,0,0,0,1,0
"149",93.98,0,36,33.5,32,0,0,1,0,0,0,0,0,1
"150",80.72,1,35,31.5,32,0,0,1,0,0,0,0,0,1
"151",98.8,1,35.6,34.5,34.8,1,1,1,0,0,0,0,0,0
"152",91.57,0,34.8,28,30.9,1,1,1,0,0,0,1,0,0
"154",93.98,0,34,31.5,28,1,0,1,0,0,0,0,1,0
"155",86.75,0,27,26,32,0,0,1,0,0,0,1,0,0
"156",78.31,1,32,26,32,0,0,1,0,0,0,0,1,0
"157",78.31,1,27,34,28,0,0,1,0,0,0,0,0,1
"158",83.13,1,35.6,31,36.1,0,0,1,0,0,0,0,0,1
"159",71.08,1,28,27,28,1,0,1,0,0,0,0,1,0
"161",98.8,0,35.6,33.5,35.8,0,0,1,0,0,0,1,0,0
"163",86.75,0,35,28,33,1,0,1,0,0,0,1,0,0
"165",93.98,0,34.7,31,32.2,0,1,1,0,0,0,0,1,0
"167",84.34,1,35,32.5,31,0,0,1,0,0,0,0,0,0
"171",87.95,0,31,31.5,28,0,0,1,0,0,0,0,1,0
"172",86.75,0,28,31,29,0,0,1,0,0,0,1,0,0
"173",75.9,0,28,28,28,0,0,1,0,0,0,0,1,0
"174",92.77,1,35.6,31.5,32.8,0,1,1,0,0,0,0,0,1
"175",91.57,0,35,33.5,34,0,0,1,0,0,0,0,1,0
"176",85.54,0,28,31.5,20,0,0,1,0,0,0,1,0,0
"178",91.57,0,33,33.5,30,0,0,1,0,0,0,1,0,0
"180",80.72,0,30,26,22,1,0,1,0,0,0,0,1,0
