atleastone,Age,Sex,Date,Race
0,22,Male,1/1/2011,White
0,26,Male,1/1/2011,White
0,32,Female,1/1/2011,White
0,22,Male,1/2/2011,White
0,35,Male,1/2/2011,Hispanic
0,35,Male,1/2/2011,Hispanic
1,34,Male,1/2/2011,Black
0,30,Male,1/3/2011,Hispanic
0,32,Female,1/3/2011,White
0,28,Male,1/3/2011,White
0,55,Male,1/3/2011,White
0,55,Male,1/3/2011,White
0,53,Male,1/4/2011,White
0,53,Male,1/4/2011,White
1,20,Male,1/4/2011,Hispanic
1,43,Male,1/5/2011,Black
0,44,Female,1/7/2011,White
1,23,Male,1/7/2011,Black
0,25,Male,1/8/2011,White
0,36,Male,1/8/2011,White
0,51,Male,1/8/2011,White
0,23,Male,1/9/2011,White
0,20,Male,1/9/2011,Black
0,20,Male,1/9/2011,Black
0,20,Male,1/9/2011,Black
0,49,Male,1/9/2011,Black
0,19,Male,1/10/2011,Black
0,26,Female,1/11/2011,White
1,20,Male,1/12/2011,Black
1,20,Male,1/12/2011,Black
1,48,Male,1/12/2011,Black
0,44,Male,1/13/2011,Black
0,43,Female,1/13/2011,White
0,43,Female,1/13/2011,White
0,49,Female,1/14/2011,White
0,26,Male,1/15/2011,White
0,26,Male,1/15/2011,White
0,35,Male,1/16/2011,Black
0,22,Male,1/16/2011,Black
0,51,Male,1/16/2011,Black
1,24,Male,1/16/2011,Black
1,40,Male,1/16/2011,Black
0,21,Male,1/18/2011,White
0,31,Female,1/18/2011,White
0,20,Male,1/18/2011,Black
1,23,Male,1/20/2011,White
0,33,Male,1/21/2011,White
1,43,Male,1/22/2011,White
0,34,Male,1/22/2011,Black
0,34,Male,1/22/2011,Black
1,30,Male,1/22/2011,Hispanic
0,21,Male,1/22/2011,White
0,19,Male,1/23/2011,Hispanic
0,21,Male,1/23/2011,Asian/Pacific Islander
0,21,Male,1/23/2011,Asian/Pacific Islander
0,22,Male,1/24/2011,Hispanic
0,22,Male,1/24/2011,Hispanic
0,22,Male,1/24/2011,Hispanic
1,36,Male,1/25/2011,Black
0,28,Male,1/25/2011,Hispanic
1,62,Male,1/25/2011,White
1,48,Male,1/25/2011,White
0,29,Male,1/26/2011,Hispanic
0,29,Male,1/26/2011,Hispanic
0,45,Female,1/26/2011,Black
1,38,Female,1/26/2011,White
1,32,Male,1/26/2011,White
0,31,Male,1/26/2011,Black
0,27,Male,1/27/2011,White
0,31,Male,1/27/2011,White
0,28,Male,1/28/2011,Asian/Pacific Islander
0,28,Male,1/28/2011,Asian/Pacific Islander
0,36,Male,1/29/2011,Black
0,36,Male,1/29/2011,Black
0,26,Male,1/29/2011,Hispanic
0,27,Male,1/29/2011,Black
0,27,Male,1/29/2011,Black
1,39,Female,1/29/2011,White
1,20,Male,1/30/2011,Black
1,20,Male,1/30/2011,Black
1,20,Male,1/30/2011,Black
0,20,Male,1/30/2011,Black
0,21,Female,1/30/2011,White
0,21,Female,1/30/2011,White
0,20,Male,1/30/2011,Black
0,20,Male,1/30/2011,Black
0,39,Male,1/30/2011,White
0,39,Male,1/30/2011,White
0,21,Male,1/31/2011,Hispanic
0,21,Male,1/31/2011,Hispanic
0,50,Male,2/2/2011,White
0,41,Male,2/4/2011,White
0,41,Male,2/4/2011,White
0,20,Female,2/4/2011,Black
0,35,Male,2/5/2011,White
