events,launch_speed,launch_angle,HR
field_out,61.5,41,0
force_out,95.3,-10,0
field_out,93.8,34,0
field_out,83,40,0
field_out,87.9,-2,0
field_out,92.3,30,0
single,99,9,0
field_out,78.10000000000001,-9,0
field_out,93.8,53,0
field_out,98.8,8,0
field_out,82.5,-5,0
field_out,93.9,33,0
field_out,96.8,-17,0
field_out,62.2,-34,0
force_out,46.5,-37,0
single,90.4,-2,0
field_out,97.6,43,0
field_out,93,-12,0
single,101.1,11,0
single,93,13,0
single,92,14,0
field_out,100.6,-12,0
field_out,66.4,2,0
field_out,94.3,6,0
single,53.6,-42,0
force_out,91.9,6,0
field_out,92.6,-13,0
double,81.10000000000001,19,0
single,75.60000000000001,22,0
single,70.10000000000001,28,0
field_out,95.7,2,0
single,95.8,2,0
field_out,70.4,15,0
single,80.5,22,0
field_out,96.4,48,0
double,101.5,36,0
field_out,93.7,47,0
field_out,89,18,0
grounded_into_double_play,96.6,-11,0
field_out,81.5,-9,0
field_out,50.6,-45,0
field_out,98.1,33,0
field_out,47.8,-45,0
field_out,70,-27,0
field_out,99.9,-3,0
field_out,97.8,15,0
field_out,78.4,2,0
field_out,99.1,6,0
field_out,86.5,41,0
field_out,76.80000000000001,32,0
field_out,77.10000000000001,47,0
grounded_into_double_play,71.7,-43,0
field_out,79.60000000000001,32,0
field_out,65.4,24,0
field_out,84,-1,0
single,63.1,33,0
field_out,88.5,-19,0
field_out,76.10000000000001,47,0
force_out,76.7,4,0
double,107.5,12,0
field_out,60.1,-69,0
grounded_into_double_play,78.7,-17,0
single,84.4,20,0
field_out,107.4,20,0
field_out,91.5,48,0
field_out,102.1,23,0
field_out,70.7,0,0
field_out,91.8,69,0
field_out,89.7,40,0
field_out,75.3,36,0
double,95.9,29,0
double,93,16,0
double,101.3,14,0
single,98,16,0
field_out,107.3,7,0
grounded_into_double_play,77.30000000000001,7,0
single,99.6,12,0
field_out,65.8,-20,0
field_out,75.7,42,0
double,106.2,13,0
grounded_into_double_play,84,-18,0
field_out,71.2,-5,0
single,78.10000000000001,16,0
field_out,103.1,-2,0
field_out,81.30000000000001,-17,0
field_out,81.4,54,0
field_out,63.5,55,0
field_out,83.80000000000001,10,0
field_out,74.7,-21,0
sac_fly,85.7,45,0
single,77.80000000000001,14,0
field_out,98,-4,0
field_out,89.60000000000001,-14,0
field_out,82.9,-28,0
field_out,39.2,47,0
single,89.30000000000001,13,0
triple,97.4,5,0
field_out,95.4,7,0
field_out,89.30000000000001,30,0
single,90.1,17,0
single,107.7,-5,0
field_out,85.7,-26,0
field_error,96.2,-6,0
