pitcher,batter,events,launch_speed,launch_angle,spray_angle
623167,493329,out,82.3,-41,2.45993064128869
592761,573131,b2,95.9,22,-12.0705545150711
429722,592206,b2,101,13,-45.5422457087349
571760,621005,out,61.9,63,12.9786747279114
519008,663757,out,93.2,5,-40.1840254455992
456501,672695,out,95.3,26,-9.43736874582602
605182,521692,out,74.9,35,-3.17544448760425
502624,444482,out,57.9,-28,-0.52563460645751
596133,595777,out,96.8,-23,45.8961936320721
579328,545358,b4,101.9,28,-0.973568991617146
656887,500743,out,86.1,24,-1.60015420445112
642152,593993,out,64.5,-52,-32.6379005693368
608566,425783,b2,93.8,20,38.2663927373567
642203,516416,out,99,49,-15.2446948448762
592789,516770,out,64.2,-32,-42.1212889015726
429722,467827,out,102.8,12,-8.23989909087543
582494,519058,out,38.7,-30,-26.2167528564192
601713,425844,out,73.2,3,42.6426711539181
621381,456781,b1,92.2,14,26.9818108942874
543208,660162,b1,102.5,-14,-8.95479412885154
608337,624428,out,82.4,34,3.64188691131454
621107,665742,out,64.9,48,-7.51285380651
518633,592261,b1,79.4,11,-6.80959244945443
457918,665489,b1,88.1,-18,-0.841102723245503
607457,571431,b2,90.1,34,34.1480329767907
643410,457763,out,88.2,63,18.8508959053784
601713,670032,b1,86.2,9,10.8673232421222
592789,645277,out,95.8,5,52.190866656826
514981,543333,out,82.9,-21,-29.9390486852875
592826,643265,out,106,0,-19.45128197521
623167,608324,out,97.9,17,2.66220378956176
543037,543877,out,95.1,6,10.9552811840088
622072,641857,out,96.8,24,-37.3549270082116
650895,543305,out,48.7,-77,-7.04576912486745
458681,519048,out,82.9,-21,34.1755194335616
592826,450314,out,86,16,-24.914050571419
596295,620443,b4,101.3,23,-31.0291942487273
592665,543807,out,102.2,52,-27.4559964034812
593334,624424,out,75.1,13,11.5715379077041
502381,592387,b1,102.1,5,-21.1288693600751
605525,642851,out,96.5,-9,-25.6223528816961
503449,545341,b4,99.8,35,-30.5254683598551
489119,571448,out,88.6,77,29.4740926157401
543294,446359,out,83.9,1,-34.7325216925807
656186,457759,out,98,-5,-36.6392847830216
570632,657557,b1,107.4,6,23.8415666525482
543521,519317,out,71.1,73,-2.57822884966882
657031,640457,b1,77.3,23,-11.1474789970628
605242,608324,out,102.6,5,-31.6127771292678
607572,518792,b2,100.2,21,31.8968589577234
572020,606299,out,78.9,76,57.5561729765132
607457,594838,out,87.3,49,28.7370614151945
543294,606115,out,72,-46,-5.12492334597897
543521,606192,out,87.5,51,-41.7504084409202
622250,608686,out,80.7,73,29.991936134226
643615,543305,out,89,-14,23.4621308143162
592127,624424,out,65.3,52,-7.07330537060195
592165,488726,out,89.2,39,-59.3074447330567
622491,444379,b2,104.5,21,24.2839286491455
605151,621035,out,79.9,45,43.3654922862352
622491,444489,out,99,-12,-32.4312490191009
592761,660670,b4,108.1,36,-8.28036095164381
663567,502481,b1,103.8,-6,31.396952496728
450306,434658,out,91.4,35,22.7576034715201
573185,541650,out,89.5,48,33.9675715532409
